gazebo-time, fl-z, foot-contact-time, fl-contact, gazebo-time, fr-z, foot-contact-time, fr-contact, gazebo-time, rl-z, foot-contact-time, rl-contact, gazebo-time, rr-z, foot-contact-time, rr-contact
, , 2916.7130000000001928, 1, , , 2916.7130000000001928, 1, , , 2916.7130000000001928, 1, , , 2916.7130000000001928, 1
, , 2916.7179999999998472, 1, , , 2916.7179999999998472, 1, , , 2916.7179999999998472, 1, , , 2916.7179999999998472, 1
, , 2916.7229999999999563, 1, , , 2916.7229999999999563, 1, , , 2916.7229999999999563, 1, , , 2916.7229999999999563, 1
, , 2916.7280000000000655, 1, , , 2916.7280000000000655, 1, , , 2916.7280000000000655, 1, , , 2916.7280000000000655, 1
, , 2916.7330000000001746, 1, , , 2916.7330000000001746, 1, , , 2916.7330000000001746, 1, , , 2916.7330000000001746, 1
, , 2916.737999999999829, 1, , , 2916.737999999999829, 1, , , 2916.737999999999829, 1, , , 2916.737999999999829, 1
, , 2916.7420000000001892, 1, , , 2916.7420000000001892, 0, , , 2916.7420000000001892, 0, , , 2916.7420000000001892, 1
, , 2916.7480000000000473, 1, , , 2916.7480000000000473, 0, , , 2916.7480000000000473, 0, , , 2916.7480000000000473, 1
, , 2916.7530000000001564, 1, , , 2916.7530000000001564, 0, , , 2916.7530000000001564, 0, , , 2916.7530000000001564, 1
, , 2916.7600000000002183, 1, , , 2916.7600000000002183, 0, , , 2916.7600000000002183, 0, , , 2916.7600000000002183, 1
, , 2916.76299999999992, 1, , , 2916.76299999999992, 0, , , 2916.76299999999992, 0, , , 2916.76299999999992, 1
, , 2916.7680000000000291, 1, , , 2916.7680000000000291, 0, , , 2916.7680000000000291, 0, , , 2916.7680000000000291, 1
, , 2916.7730000000001382, 1, , , 2916.7730000000001382, 0, , , 2916.7730000000001382, 0, , , 2916.7730000000001382, 1
, , 2916.7779999999997926, 1, , , 2916.7779999999997926, 0, , , 2916.7779999999997926, 0, , , 2916.7779999999997926, 1
, , 2916.7829999999999018, 1, , , 2916.7829999999999018, 0, , , 2916.7829999999999018, 0, , , 2916.7829999999999018, 1
